Id,Label,timeset,username,category,post_activity,fan_count,talking_about_count,users_can_post,link
523095624441232,Rueda Libre Bogotá,,Ruedalibrebogota,Bike Rental,0.01,2643,6,yes,https://www.facebook.com/Ruedalibrebogota/
590846014308895,La PAZicleta,,pazicleta,Website,0.01,2549,2,yes,https://www.facebook.com/pazicleta/
136754833058809,Bicivilízate - Pasto,,BicivilizatePasto,Consulting Agency,0.04,2354,17,yes,https://www.facebook.com/BicivilizatePasto/
631311030217900,La Bicicleteria,,LaBicicleteria,Outdoor & Sporting Goods Company,0.01,11154,12,yes,https://www.facebook.com/LaBicicleteria/
346730152065281,Bicicletas Donacleta,,donacleta.sas,Sports & Recreation,0,7565,8,no,https://www.facebook.com/donacleta.sas/
546782255345486,Bike Fest Colombia,,BikeFestBogota,Community,0,13916,48,yes,https://www.facebook.com/BikeFestBogota/
449911195028060,Rodando Juntos,,RodandoJuntos,Travel Company,0,716,2,yes,https://www.facebook.com/RodandoJuntos/
232287230205457,Idu Bogotá,,IduBogota,Government Organization,0.64,11833,1091,no,https://www.facebook.com/IduBogota/
260208470776861,Kuntur  Road Bike,,kuntur25,Sport,0,1482,0,yes,https://www.facebook.com/kuntur25/
275845552527106,Bike Paths for the life.,,BikePathsForTheLife,Community,0,1086,0,yes,https://www.facebook.com/BikePathsForTheLife/
195184647254034,BiciPicnic,,bicipicnic,Community,0,917,1,yes,https://www.facebook.com/bicipicnic/
284260788250964,Semana de la Bicicleta,,biciusuariosbogota,College & University,0.01,2644,4,yes,https://www.facebook.com/biciusuariosbogota/
156503417751582,Exigimos Más Ciclorrutas,,ExigimosMasCiclorrutas,Nonprofit Organization,0.67,30713,3961,yes,https://www.facebook.com/ExigimosMasCiclorrutas/
183649225024927,LA BICICLETADA,,,Tour Agency,0.01,2988,2,yes,https://www.facebook.com/LA-BICICLETADA-183649225024927/
57022040758,CICLOPASEOS DE LOS MIERCOLES,,,Travel Company,0.05,17704,164,yes,https://www.facebook.com/CICLOPASEOS-DE-LOS-MIERCOLES-57022040758/
124948924224350,Bike The Way,,biketheway,Business Center,0.01,9428,5,yes,https://www.facebook.com/biketheway/
189924944361205,Bogotá Cyclechic,,,Society & Culture Website,0,4242,3,yes,https://www.facebook.com/Bogotá-Cyclechic-189924944361205/
194229153972356,Ciclopaseo Cachaco,,ciclocachaco,Community,0.03,9491,352,yes,https://www.facebook.com/ciclocachaco/
1629939867277458,Duvan Franco verde vota verde,,CONDUVANFRANCO,Public Figure,0,344,4,yes,https://www.facebook.com/CONDUVANFRANCO/
1508014412803227,Leonidas Gómez Gómez,,LeonidasGomezG,Public Figure,0.04,35860,209,yes,https://www.facebook.com/LeonidasGomezG/
1506119609658663,Ingeniería Humana Ancestral,,dignidad.santandereana,Artist,0,3076,0,no,https://www.facebook.com/dignidad.santandereana/
168743617253,Greenpeace Colombia,,greenpeaceencolombia,Nonprofit Organization,0.05,587070,53003,yes,https://www.facebook.com/greenpeaceencolombia/
409862902386669,La Niebla Parque Restaurante,,LaNieblaParqueRestaurante,Bar & Grill,0.01,29950,431,yes,https://www.facebook.com/LaNieblaParqueRestaurante/
259734367425344,La FM Bucaramanga Oficial,,La.FM.Bucaramanga.oficial,Radio Station,0.03,13951,68,yes,https://www.facebook.com/La.FM.Bucaramanga.oficial/
298067193732972,Sol Viajero -Turismo Sostenible,,easytoursTs,Tour Guide,0.02,939,8,yes,https://www.facebook.com/easytoursTs/
110505715638171,Pepe Mujica,,,Politician,0,191269,0,no,https://www.facebook.com/pages/Pepe-Mujica/110505715638171
406640272742843,José Mujica,,,Politician,0.03,145032,572,yes,https://www.facebook.com/José-Mujica-406640272742843/
100132046833626,SAES,,SociedadAltruistaEcologicaySocial,Society & Culture Website,0,616,0,yes,https://www.facebook.com/SociedadAltruistaEcologicaySocial/
1401242116757930,Jovens PV Paraná,,juventudepvpr,Political Organization,0.01,1637,3,yes,https://www.facebook.com/juventudepvpr/
326797144544,Partido Verde,,partidoverde43,Political Party,0.08,103053,671,yes,https://www.facebook.com/partidoverde43/
1413085582280482,Jorge Prieto Riveros,,JorgePrietoRiver,Politician,0.05,10559,171,yes,https://www.facebook.com/JorgePrietoRiver/
123243941056130,Carlos Amaya,,carlosandresamayar,Politician,0.19,93236,8873,yes,https://www.facebook.com/carlosandresamayar/
279350617739,Angela María Robledo,,angelamrobledo,Politician,0.04,23284,450,yes,https://www.facebook.com/angelamrobledo/
409062972558113,Antonio Navarro Wolff,,navarrowolffantonio,Politician,0.07,24812,1935,no,https://www.facebook.com/navarrowolffantonio/
162789783747966,Alfonso Prada,,PradaAlfonso,Public Figure,0.02,40338,92,yes,https://www.facebook.com/PradaAlfonso/
151596644901231,Gilma Jiménez,,,Politician,0,5568,14942,no,https://www.facebook.com/Gilma-Jiménez-151596644901231/
1645725225708665,Carlos Mario Marín Concejal Verde,,,Community,0.03,17771,3732,yes,https://www.facebook.com/Carlos-Mario-Marín-Concejal-Verde-1645725225708665/
431532453536925,MundialBrasil2014,,MundialdeBrasil2014,Entertainment Website,0,144579,65,yes,https://www.facebook.com/MundialdeBrasil2014/
1490824904542864,Corporación Control Social Colombia-Contrial,,CCONTRIAL,Non-Governmental Organization (NGO),0.05,374,14,yes,https://www.facebook.com/CCONTRIAL/
254672267943304,Gobernación de Nariño,,GobNarino,Government Organization,0.16,14977,829,yes,https://www.facebook.com/GobNarino/
420594668109932,Somos Nariño,,,Community,0.02,9947,54,yes,https://www.facebook.com/Somos-Nariño-420594668109932/
